,sf
0,C13H8N2O2
1,C14H10K2O8
2,C14H10Na2O8
3,C14H10NaKO8
4,C14H10O7
5,C14H11KO8
6,C14H11NaO8
7,C14H12O8
8,C14H16N2O3S2
9,C14H5K3O6
10,C14H5Na2KO6
11,C14H5Na3O6
12,C14H5NaK2O6
13,C14H6K2O6
14,C14H6Na2O6
15,C14H6NaKO6
16,C14H7K3O7
17,C14H7KO6
18,C14H7Na2KO7
19,C14H7Na3O7
20,C14H7NaK2O7
21,C14H7NaO6
22,C14H8K2O7
23,C14H8Na2O7
24,C14H8NaKO7
25,C14H8O6
26,C14H9K3O8
27,C14H9KO7
28,C14H9Na2KO8
29,C14H9Na3O8
30,C14H9NaK2O8
31,C14H9NaO7
32,C15H16N2O
33,C20H27NO
34,C20H27NO2
35,C21H10K2O9
36,C21H10Na2K2O10
37,C21H10Na2O9
38,C21H10Na3KO10
39,C21H10NaK3O10
40,C21H10NaKO9
41,C21H11K3O10
42,C21H11KO9
43,C21H11Na2KO10
44,C21H11Na3O10
45,C21H11NaK2O10
46,C21H11NaO9
47,C21H12K2O10
48,C21H12Na2K2O11
49,C21H12Na2O10
50,C21H12Na3KO11
51,C21H12NaK3O11
52,C21H12NaKO10
53,C21H12O9
54,C21H13K3O11
55,C21H13KO10
56,C21H13Na2KO11
57,C21H13Na3O11
58,C21H13NaK2O11
59,C21H13NaO10
60,C21H14K2O11
61,C21H14Na2K2O12
62,C21H14Na2O11
63,C21H14Na3KO12
64,C21H14NaK3O12
65,C21H14NaKO11
66,C21H15K3O12
67,C21H15KO11
68,C21H15Na2KO12
69,C21H15Na3O12
70,C21H15NaK2O12
71,C21H15NaO11
72,C21H16K2O12
73,C21H16Na2O12
74,C21H16NaKO12
75,C21H16O11
76,C21H17KO12
77,C21H17NaO12
78,C21H8Na2K2O9
79,C21H8Na3KO9
80,C21H8NaK3O9
81,C21H9K3O9
82,C21H9Na2KO9
83,C21H9Na3O9
84,C21H9NaK2O9
85,C26H48O9
86,C27H35N5O7S1
87,C28H11Na2K3O12
88,C28H11Na3K2O12
89,C28H12Na2K2O12
90,C28H12Na3KO12
91,C28H12NaK3O12
92,C28H13K3O12
93,C28H13Na2K3O13
94,C28H13Na2KO12
95,C28H13Na3K2O13
96,C28H13Na3O12
97,C28H13NaK2O12
98,C28H14K2O12
99,C28H14Na2K2O13
100,C28H14Na2O12
101,C28H14Na3KO13
102,C28H14NaK3O13
103,C28H14NaKO12
104,C28H15K3O13
105,C28H15KO12
106,C28H15Na2K3O14
107,C28H15Na2KO13
108,C28H15Na3K2O14
109,C28H15Na3O13
110,C28H15NaK2O13
111,C28H15NaO12
112,C28H16K2O13
113,C28H16Na2K2O14
114,C28H16Na2O13
115,C28H16Na3KO14
116,C28H16NaK3O14
117,C28H16NaKO13
118,C28H16O12
119,C28H17K3O14
120,C28H17KO13
121,C28H17Na2K3O15
122,C28H17Na2KO14
123,C28H17Na3K2O15
124,C28H17Na3O14
125,C28H17NaK2O14
126,C28H17NaO13
127,C28H18K2O14
128,C28H18Na2K2O15
129,C28H18Na2O14
130,C28H18Na3KO15
131,C28H18NaK3O15
132,C28H18NaKO14
133,C28H18O13
134,C28H19K3O15
135,C28H19KO14
136,C28H19Na2K3O16
137,C28H19Na2KO15
138,C28H19Na3K2O16
139,C28H19Na3O15
140,C28H19NaK2O15
141,C28H19NaO14
142,C28H20K2O15
143,C28H20Na2K2O16
144,C28H20Na2O15
145,C28H20Na3KO16
146,C28H20NaK3O16
147,C28H20NaKO15
148,C28H21K3O16
149,C28H21KO15
150,C28H21Na2KO16
151,C28H21Na3O16
152,C28H21NaK2O16
153,C28H21NaO15
154,C28H22K2O16
155,C28H22Na2O16
156,C28H22NaKO16
157,C28H22O15
158,C28H23KO16
159,C28H23NaO16
160,C28H32N4O4
161,C28H52O9
162,C30H51NO6
163,C32H58O13
164,C33H49NO6
165,C33H49NO7
166,C35H14Na3K3O15
167,C35H15Na2K3O15
168,C35H15Na3K2O15
169,C35H16Na2K2O15
170,C35H16Na3K3O16
171,C35H16Na3KO15
172,C35H16NaK3O15
173,C35H17K3O15
174,C35H17Na2K3O16
175,C35H17Na2KO15
176,C35H17Na3K2O16
177,C35H17Na3O15
178,C35H17NaK2O15
179,C35H18K2O15
180,C35H18Na2K2O16
181,C35H18Na2O15
182,C35H18Na3K3O17
183,C35H18Na3KO16
184,C35H18NaK3O16
185,C35H18NaKO15
186,C35H19K3O16
187,C35H19KO15
188,C35H19Na2K3O17
189,C35H19Na2KO16
