,sf
190,C35H19Na3K2O17
191,C35H19Na3O16
192,C35H19NaK2O16
193,C35H19NaO15
194,C35H20K2O16
195,C35H20Na2K2O17
196,C35H20Na2O16
197,C35H20Na3K3O18
198,C35H20Na3KO17
199,C35H20NaK3O17
200,C35H20NaKO16
201,C35H20O15
202,C35H21K3O17
203,C35H21KO16
204,C35H21Na2K3O18
205,C35H21Na2KO17
206,C35H21Na3K2O18
207,C35H21Na3O17
208,C35H21NaK2O17
209,C35H21NaO16
210,C35H22K2O17
211,C35H22Na2K2O18
212,C35H22Na2O17
213,C35H22Na3K3O19
214,C35H22Na3KO18
215,C35H22NaK3O18
216,C35H22NaKO17
217,C35H22O16
218,C35H23K3O18
219,C35H23KO17
220,C35H23Na2K3O19
221,C35H23Na2KO18
222,C35H23Na3K2O19
223,C35H23Na3O18
224,C35H23NaK2O18
225,C35H23NaO17
226,C35H24K2O18
227,C35H24Na2K2O19
228,C35H24Na2O18
229,C35H24Na3K3O20
230,C35H24Na3KO19
231,C35H24NaK3O19
232,C35H24NaKO18
233,C35H24O17
234,C35H25K3O19
235,C35H25KO18
236,C35H25Na2K3O20
237,C35H25Na2KO19
238,C35H25Na3K2O20
239,C35H25Na3O19
240,C35H25NaK2O19
241,C35H25NaO18
242,C35H26K2O19
243,C35H26Na2K2O20
244,C35H26Na2O19
245,C35H26Na3KO20
246,C35H26NaK3O20
247,C35H26NaKO19
248,C35H26O18
249,C35H27K3O20
250,C35H27KO19
251,C35H27Na2KO20
252,C35H27Na3O20
253,C35H27NaK2O20
254,C35H27NaO19
255,C35H28K2O20
256,C35H28Na2O20
257,C35H28NaKO20
258,C35H28O19
259,C35H29KO20
260,C35H29NaO20
261,C35H30O20
262,C42H18Na3K3O18
263,C42H19Na2K3O18
264,C42H19Na3K2O18
265,C42H20Na2K2O18
266,C42H20Na3KO18
267,C42H20NaK3O18
268,C42H21K3O18
269,C42H21Na2K3O19
270,C42H21Na2KO18
271,C42H21Na3K2O19
272,C42H21Na3O18
273,C42H21NaK2O18
274,C42H22K2O18
275,C42H22Na2K2O19
276,C42H22Na2O18
277,C42H22Na3KO19
278,C42H22NaK3O19
279,C42H22NaKO18
280,C42H23K3O19
281,C42H23KO18
282,C42H23Na2KO19
283,C42H23Na3K2O20
284,C42H23Na3O19
285,C42H23NaK2O19
286,C42H23NaO18
287,C42H24K2O19
288,C42H24Na2K2O20
289,C42H24Na2O19
290,C42H24Na3KO20
291,C42H24NaK3O20
292,C42H24NaKO19
293,C42H24O18
294,C42H25K3O20
295,C42H25KO19
296,C42H25Na2KO20
297,C42H25Na3O20
298,C42H25NaK2O20
299,C42H25NaO19
300,C42H26K2O20
301,C42H26Na2K2O21
302,C42H26Na2O20
303,C42H26Na3KO21
304,C42H26NaKO20
305,C42H26O19
306,C42H27K3O21
307,C42H27KO20
308,C42H27Na2KO21
309,C42H27Na3O21
310,C42H27NaK2O21
311,C42H27NaO20
312,C42H28K2O21
313,C42H28Na2O21
314,C42H28Na3KO22
315,C42H28NaKO21
316,C42H28O20
317,C42H29KO21
318,C42H29Na2KO22
319,C42H29Na3O22
320,C42H29NaK2O22
321,C42H29NaO21
322,C42H30K2O22
323,C42H30Na2O22
324,C42H30NaKO22
325,C42H30O21
326,C42H31KO22
327,C42H31Na2KO23
328,C42H31Na3O23
329,C42H31NaO22
330,C42H32K2O23
331,C42H32Na2O23
332,C42H32NaKO23
333,C42H32O22
334,C42H33KO23
335,C42H33Na3O24
336,C42H33NaO23
337,C42H34Na2O24
338,C42H34NaKO24
339,C42H34O23
340,C42H35KO24
341,C42H35NaO24
342,C42H36O24
343,C42H56N10O9S
344,C46H65N15O12S2
345,C49H26Na2O21
346,C49H27KO21
347,C49H27NaO21
348,C49H28O21
349,C49H29NaO22
350,C49H30O22
351,C49H32O23
352,C53H93N9O14
353,C53H93N9O16
354,C53H94N10O15
355,C54H95N9O16
356,C54H96N10O15
357,C55H95N9O14
358,C55H97N9O14
359,C55H97N9O16
360,C56H99N9O16
361,C57H101N9O16
362,C61H108N10O17
363,C62H110N10O17
364,C63H112N10O17
365,C64H114N10O17
366,C65H113N13O19
367,C66H114N12O20
368,C66H115N13O19
369,C67H116N12O20
370,C7H2K2O3
371,C7H2Na2O3
372,C7H2NaKO3
373,C7H3KO3
374,C7H3NaO3
375,C7H4K2O4
376,C7H4Na2O4
377,C7H4NaKO4
378,C7H4O3
379,C7H5KO4
380,C7H5NaO4
381,C83H144N18O23
382,C84H146N18O23
383,C86H148N18O23
384,C92H159N21O24
385,C93H161N21O25
386,C94H163N21O25
387,C94H165N21O26
