,sf
259,C20H42NO7P
261,C26H54NO7P
262,C44H86NO8P
263,C37H73O8P
264,C33H65O8P
265,C40H72N7O17P3S
266,C40H77O8P
268,C39H73O8P
271,C25H49O12P
272,C43H83O13P
273,C43H81O13P
274,C22H45O9P
275,C40H79O10P
276,C40H77O10P
277,C24H49O9P
278,C42H81O10P
279,C22H46NO7P
281,C26H56NO6P
282,C28H58NO7P
283,C26H52NO8P
284,C28H56NO8P
286,C40H82NO7P
287,C42H86NO7P
289,C44H88NO8P
290,C27H46N7O17P3S
291,C30H60NO8P
292,C29H50N7O17P3S
293,C32H64NO8P
294,C31H54N7O17P3S
295,C41H66N7O17P3S
296,C43H68N7O18P3S
297,C43H70N7O17P3S
298,C45H72N7O18P3S
299,C41H64N7O17P3S
300,C43H66N7O18P3S
301,C43H68N7O17P3S
302,C45H70N7O18P3S
303,C41H68N7O18P3S
306,C47H76N7O17P3S
307,C49H78N7O18P3S
308,C49H80N7O17P3S
309,C51H82N7O18P3S
310,C51H84N7O17P3S
311,C53H86N7O18P3S
312,C53H88N7O17P3S
313,C55H90N7O18P3S
314,C55H92N7O17P3S
315,C57H94N7O18P3S
316,C57H96N7O17P3S
317,C59H98N7O18P3S
318,C47H78N7O17P3S
319,C49H80N7O18P3S
320,C49H82N7O17P3S
321,C51H84N7O18P3S
322,C51H86N7O17P3S
323,C53H88N7O18P3S
324,C53H90N7O17P3S
325,C55H92N7O18P3S
326,C55H94N7O17P3S
327,C57H96N7O18P3S
328,C57H98N7O17P3S
329,C59H100N7O18P3S
331,C43H66N7O17P3S
332,C45H68N7O18P3S
333,C47H74N7O17P3S
334,C49H76N7O18P3S
336,C49H78N7O17P3S
337,C51H80N7O18P3S
338,C51H82N7O17P3S
339,C53H84N7O18P3S
340,C53H86N7O17P3S
341,C55H88N7O18P3S
342,C55H90N7O17P3S
343,C57H92N7O18P3S
344,C41H68N7O17P3S
345,C43H70N7O18P3S
349,C16H28O2
351,C21H39O7P
352,C39H71O8P
353,C21H37O7P
354,C39H69O8P
358,C42H80NO8P
359,C44H80NO8P
360,C37H69O8P
361,C41H74NO8P
362,C42H76NO10P
363,C44H76NO10P
364,C44H84NO8P
365,C44H82NO8P
366,C46H82NO8P
368,C41H71O8P
370,C23H39O7P
372,C46H80NO8P
373,C39H74NO8P
374,C35H69O8P
375,C41H79O13P
376,C43H79O13P
377,C45H79O13P
378,C38H75O10P
379,C40H75O10P
381,C27H46O2
382,C39H70N7O18P3S
384,C18H36O3
385,C20H40O3
386,C14H28O2
387,C18H36O2
388,C22H44O2
389,C22H44O3
390,C20H40O2
391,C24H48O3
395,C34H67NO4
396,C36H71NO4
398,C42H81NO4
399,C20H41O9P
400,C36H71O10P
402,C24H47O9P
404,C20H32O3
405,C8H16O2
406,C10H20O2
407,C14H26O2
408,C45H74N7O20P3S
409,C24H40O5
410,C45H74N7O19P3S
411,C24H40O4
412,C6H10O5
413,C20H30O3
414,C20H43NO2
415,C20H43NO3
416,C3H4O4
417,C4H6O3
418,C37H66N7O18P3S
419,C37H64N7O18P3S
420,C41H73O8P
421,C43H69O8P
423,C45H72N7O17P3S
427,C30H47N3O9S
428,C25H40N7O19P3S
429,C4H6O4
430,C28H50NO7P
432,C5H8O3
433,C31H52N7O17P3S
434,C33H56N7O17P3S
436,C20H32O4
438,C20H34O2
440,C22H34O2
441,C20H38O2
442,C18H32O4
445,C73H131N3O31
446,C18H32O3
459,C32H63NO3
460,C46H93NO5
461,C27H54O2
467,C21H32O2
470,C35H62N7O18P3S
472,C35H60N7O18P3S
473,C33H58N7O18P3S
474,C33H56N7O18P3S
475,C29H50N7O18P3S
476,C29H48N7O18P3S
477,C31H54N7O18P3S
478,C31H52N7O18P3S
479,C27H46N7O18P3S
480,C27H44N7O18P3S
481,C25H42N7O18P3S
482,C29H48N7O17P3S
483,C27H44N7O17P3S
484,C25H42N7O17P3S
485,C25H40N7O17P3S
486,C23H45NO4
487,C18H24O2
488,C18H22O2
489,C19H30O2
490,C19H28O2
491,C19H32O2
494,C19H26O2
495,C24H38O5
498,C20H36O2
499,C20H39NO3
500,C18H22O3
501,C22H32O2
504,C18H30O2
507,C18H28O2
508,C22H42O2
509,C22H40O2
510,C22H38O2
511,C22H36O2
512,C23H46O2
513,C24H46O2
515,C3H6O2
517,C21H42O2
519,C24H40O2
520,C24H38O2
522,C24H36O2
523,C26H50O2
524,C26H44O2
525,C26H42O2
527,C26H40O2
528,C28H48O2
531,C28H44O2
532,C30H52O2
533,C30H50O2
535,C30H48O2
536,C32H56O2
537,C32H54O2
538,C32H52O2
539,C34H60O2
540,C34H58O2
541,C34H56O2
542,C36H64O2
543,C36H62O2
545,C38H68O2
546,C38H66O2
547,C13H28O
548,C14H30O
549,C15H32O
550,C17H36O
551,C20H42O
552,C22H46O
553,C24H50O
554,C26H54O
555,C28H58O
556,C30H62O
559,C20H40O
560,C22H44O
561,C21H46NO6P
562,C28H58NO6P
563,C26H54NO6P
564,C23H50NO6P
565,C30H62NO6P
567,C25H54NO6P
568,C26H52NO6P
570,C30H64NO6P
571,C28H60NO6P
572,C34H72NO6P
573,C36H76NO6P
574,C32H68NO6P
575,C22H48NO6P
576,C38H80NO6P
577,C62H100NO10P
578,C52H88NO10P
579,C47H80NO10P
580,C60H96NO10P
581,C60H98NO10P
582,C54H88NO10P
583,C54H90NO10P
584,C54H92NO10P
586,C64H102NO10P
587,C24H48NO8P
588,C64H104NO10P
589,C49H84NO10P
591,C62H102NO10P
592,C56H96NO10P
593,C66H106NO10P
594,C51H88NO10P
596,C64H106NO10P
597,C58H100NO10P
598,C68H110NO10P
599,C66H108NO10P
600,C30H56NO10P
601,C66H110NO10P
602,C60H104NO10P
603,C70H114NO10P
604,C68H112NO10P
605,C68H114NO10P
606,C70H116NO10P
607,C70H118NO10P
608,C72H120NO10P
609,C72H122NO10P
610,C56H86NO10P
611,C56H88NO10P
612,C54H84NO10P
613,C54H86NO10P
614,C58H90NO10P
615,C58H92NO10P
616,C52H82NO10P
617,C52H84NO10P
618,C50H84NO10P
621,C56H90NO10P
622,C60H94NO10P
625,C54H94NO10P
627,C52H86NO10P
629,C58H94NO10P
631,C50H82NO10P
635,C36H58NO10P
636,C38H62NO10P
637,C44H74NO10P
638,C56H98NO10P
639,C46H78NO10P
640,C60H106NO10P
641,C50H86NO10P
642,C40H66NO10P
643,C62H110NO10P
644,C52H90NO10P
645,C42H70NO10P
646,C37H60NO10P
647,C58H102NO10P
648,C48H82NO10P
649,C64H114NO10P
652,C47H82NO10P
654,C60H100NO10P
661,C49H86NO10P
663,C62H104NO10P
666,C51H90NO10P
669,C64H108NO10P
673,C66H112NO10P
677,C68H116NO10P
679,C70H120NO10P
681,C72H124NO10P
694,C56H92NO10P
701,C58H96NO10P
706,C27H54NO8P
707,C36H60NO10P
708,C38H64NO10P
710,C56H100NO10P
711,C46H80NO10P
712,C54H96NO10P
713,C60H108NO10P
714,C50H88NO10P
715,C40H68NO10P
716,C62H112NO10P
717,C52H92NO10P
718,C42H72NO10P
719,C37H62NO10P
720,C58H104NO10P
721,C48H84NO10P
722,C64H116NO10P
725,C37H70NO10P
728,C44H78NO10P
729,C44H80NO10P
730,C44H82NO10P
734,C39H74NO10P
737,C46H86NO10P
739,C41H78NO10P
742,C48H90NO10P
746,C50H94NO10P
752,C40H76NO10P
755,C46H76NO10P
759,C48H80NO10P
762,C42H74NO10P
763,C40H74NO10P
775,C40H72NO10P
779,C26H48NO10P
780,C28H52NO10P
781,C34H64NO10P
782,C46H88NO10P
783,C36H68NO10P
784,C44H84NO10P
785,C50H96NO10P
786,C52H100NO10P
787,C42H80NO10P
788,C32H60NO10P
789,C27H50NO10P
790,C48H92NO10P
791,C38H72NO10P
792,C54H104NO10P
796,C45H78NO10P
797,C45H80NO10P
798,C39H70NO10P
799,C39H72NO10P
804,C34H66NO10P
806,C47H84NO10P
809,C36H70NO10P
811,C49H88NO10P
812,C43H82NO10P
813,C53H92NO10P
815,C51H92NO10P
816,C45H86NO10P
817,C55H96NO10P
818,C53H94NO10P
819,C53H96NO10P
820,C55H98NO10P
821,C55H100NO10P
822,C57H102NO10P
823,C57H104NO10P
824,C41H68NO10P
825,C41H70NO10P
826,C39H66NO10P
827,C39H68NO10P
828,C43H72NO10P
829,C43H74NO10P
830,C37H64NO10P
831,C37H66NO10P
832,C35H66NO10P
835,C41H72NO10P
836,C45H76NO10P
840,C37H68NO10P
842,C43H76NO10P
844,C35H64NO10P
848,C21H40NO10P
849,C23H44NO10P
850,C29H56NO10P
851,C41H80NO10P
852,C31H60NO10P
853,C39H76NO10P
854,C45H88NO10P
855,C35H68NO10P
856,C25H48NO10P
857,C47H92NO10P
858,C37H72NO10P
859,C27H52NO10P
860,C22H42NO10P
861,C43H84NO10P
862,C33H64NO10P
863,C49H96NO10P
897,C29H58NO8P
902,C50H80NO10P
920,C34H56NO10P
933,C35H58NO10P
950,C60H102NO10P
955,C62H106NO10P
959,C64H110NO10P
963,C66H114NO10P
965,C68H118NO10P
968,C70H122NO10P
988,C56H94NO10P
994,C34H58NO10P
995,C36H62NO10P
997,C54H98NO10P
999,C52H94NO10P
1000,C58H106NO10P
1001,C48H86NO10P
1002,C38H66NO10P
1003,C60H110NO10P
1004,C50H90NO10P
1005,C40H70NO10P
1006,C35H60NO10P
1007,C56H102NO10P
1008,C46H82NO10P
1009,C62H114NO10P
1020,C41H74NO10P
1025,C43H78NO10P
1030,C58H98NO10P
1037,C62H108NO10P
1039,C64H112NO10P
1041,C48H76NO10P
1042,C48H78NO10P
1043,C46H74NO10P
1047,C44H72NO10P
1065,C28H48NO10P
1066,C30H52NO10P
1067,C36H64NO10P
1068,C48H88NO10P
1069,C38H68NO10P
1070,C46H84NO10P
1071,C52H96NO10P
1074,C32H56NO10P
1075,C54H100NO10P
1077,C34H60NO10P
1078,C29H50NO10P
1079,C50H92NO10P
1081,C56H104NO10P
1089,C35H70NO8P
1094,C41H76NO10P
1099,C43H80NO10P
1138,C28H50NO10P
1139,C30H54NO10P
1140,C36H66NO10P
1142,C38H70NO10P
1144,C52H98NO10P
1146,C32H58NO10P
1147,C54H102NO10P
1149,C34H62NO10P
1150,C29H52NO10P
1153,C56H106NO10P
1222,C29H54NO10P
1225,C56H108NO10P
1264,C19H37O8P
1300,C23H45O8P
1325,C72H118NO10P
1331,C74H124NO10P
1332,C74H126NO10P
1346,C62H98NO10P
1369,C39H64NO10P
1372,C66H118NO10P
1379,C51H100NO10P
1404,C74H128NO10P
1431,C26H50NO10P
1445,C66H120NO10P
1463,C38H74NO10P
1470,C47H90NO10P
1471,C57H100NO10P
1476,C59H106NO10P
1477,C59H108NO10P
1514,C24H46NO10P
1618,C72H126NO10P
1622,C16H30NO10P
1636,C25H48NO8P
1660,C64H118NO10P
1683,C28H54NO10P
1713,C13H26NO8P
1731,C31H58NO10P
1733,C58H112NO10P
1759,C74H122NO10P
1764,C76H128NO10P
1765,C76H130NO10P
1783,C15H30NO8P
1808,C68H122NO10P
1812,C18H34NO10P
1830,C49H94NO10P
1831,C59H104NO10P
1836,C61H110NO10P
1837,C61H112NO10P
1873,C53H104NO10P
1930,C13H24NO10P
1977,C74H130NO10P
1985,C27H46NO10P
1999,C21H42NO8P
2018,C66H122NO10P
2043,C66H116NO10P
2044,C54H106NO10P
2050,C68H124NO10P
2088,C33H62NO10P
2091,C60H116NO10P
2117,C76H126NO10P
2122,C78H132NO10P
2123,C78H134NO10P
2165,C70H126NO10P
2198,C76H132NO10P
2208,C33H66NO8P
2271,C76H134NO10P
2276,C23H46NO8P
2313,C68H126NO10P
2337,C68H120NO10P
2343,C70H128NO10P
2382,C62H120NO10P
2413,C80H136NO10P
2414,C80H138NO10P
2455,C72H130NO10P
2457,C25H46NO10P
2483,C31H62NO8P
2488,C78H136NO10P
2523,C30H58NO10P
2562,C78H138NO10P
2602,C70H130NO10P
2634,C80H140NO10P
2675,C72H132NO10P
2682,C40H78NO10P
2707,C80H142NO10P
2720,C33H52NO10P
2749,C72H134NO10P
2781,C82H144NO10P
2822,C74H136NO10P
2894,C74H138NO10P
2929,C50H76NO10P
2930,C48H72NO10P
2931,C48H74NO10P
2932,C52H78NO10P
2933,C52H80NO10P
2934,C46H70NO10P
2935,C46H72NO10P
2939,C50H78NO10P
2940,C54H82NO10P
2949,C44H70NO10P
2953,C30H46NO10P
2954,C32H50NO10P
2962,C34H54NO10P
2966,C31H48NO10P
3026,C30H48NO10P
3027,C32H52NO10P
3037,C31H50NO10P
3078,C44H68NO10P
3093,C42H68NO10P
3097,C28H44NO10P
3108,C29H46NO10P
3168,C28H46NO10P
3169,C30H50NO10P
3171,C11H24NO7P
3177,C32H54NO10P
3181,C29H48NO10P
3240,C12H22NO10P
3327,C33H54NO10P
3388,C26H42NO10P
3400,C27H44NO10P
3459,C26H44NO10P
3473,C20H38NO10P
3530,C24H44NO10P
3601,C32H66NO7P
3616,C31H52NO10P
3818,C35H56NO10P
3921,C14H26NO10P
4060,C11H20NO10P
4095,C26H46NO10P
4107,C27H48NO10P
4108,C32H62NO10P
4250,C38H74NO8P
4257,C33H56NO10P
4386,C24H42NO10P
4397,C25H44NO10P
4584,C38H78NO7P
4640,C58H110NO10P
4641,C78H130NO10P
4646,C82H142NO10P
4647,C82H146NO10P
4648,C50H74NO10P
4654,C42H66NO10P
4672,C10H18NO10P
4675,C50H98NO10P
4677,C46H90NO10P
4678,C58H114NO10P
4681,C62H122NO10P
4682,C42H82NO10P
4685,C24H45O8P
4686,C66H130NO10P
4861,C44H86NO10P
4864,C19H36NO10P
4899,C56H110NO10P
4929,C48H94NO10P
4933,C24H47O8P
4937,C52H102NO10P
4984,C25H47O8P
5148,C60H118NO10P
5292,C15H28NO10P
5367,C64H126NO10P
5505,C17H32NO10P
5520,C32H63O8P
5660,C25H49O8P
5677,C27H53O8P
5729,C36H70NO8P
5831,C45H82NO10P
5850,C14H28NO8P
5879,C49H90NO10P
5885,C47H86NO10P
5890,C31H54NO10P
5893,C58H108NO10P
5917,C22H44NO8P
5938,C47H88NO10P
5940,C45H84NO10P
6066,C49H92NO10P
6076,C31H56NO10P
6125,C51H98NO10P
6133,C61H108NO10P
6157,C53H102NO10P
6165,C63H112NO10P
6190,C63H114NO10P
6198,C63H116NO10P
6206,C65H118NO10P
6214,C65H120NO10P
6470,C22H40NO10P
6485,C23H42NO10P
6616,C55H108NO10P
6621,C57H112NO10P
7019,C64H106NO8P
7020,C58H98NO8P
7021,C54H94NO8P
7022,C49H86NO8P
7023,C62H102NO8P
7024,C62H104NO8P
7025,C56H94NO8P
7026,C56H96NO8P
7027,C56H98NO8P
7029,C66H108NO8P
7030,C66H110NO8P
7031,C51H90NO8P
7033,C64H108NO8P
7034,C58H100NO8P
7035,C58H102NO8P
7036,C68H112NO8P
7037,C53H94NO8P
7039,C40H68NO8P
7040,C66H112NO8P
7041,C60H106NO8P
7042,C70H116NO8P
7043,C68H114NO8P
7044,C68H116NO8P
7045,C62H110NO8P
7046,C72H120NO8P
7047,C70H118NO8P
7048,C70H120NO8P
7049,C72H122NO8P
7050,C72H124NO8P
7051,C74H126NO8P
7053,C74H128NO8P
7054,C58H92NO8P
7055,C58H94NO8P
7056,C56H90NO8P
7057,C56H92NO8P
7058,C60H96NO8P
7059,C60H98NO8P
7060,C54H88NO8P
7061,C54H90NO8P
7062,C52H90NO8P
7065,C58H96NO8P
7067,C62H100NO8P
7071,C54H92NO8P
7073,C60H100NO8P
7075,C52H88NO8P
7079,C50H86NO8P
7080,C38H64NO8P
7081,C18H36NO8P
7083,C58H104NO8P
7084,C48H84NO8P
7085,C56H100NO8P
7086,C57H102NO8P
7088,C62H112NO8P
7089,C52H92NO8P
7090,C42H72NO8P
7091,C55H98NO8P
7092,C64H116NO8P
7093,C54H96NO8P
7094,C44H76NO8P
7096,C39H66NO8P
7098,C60H108NO8P
7099,C50H88NO8P
7100,C66H120NO8P
7105,C49H88NO8P
7107,C62H106NO8P
7112,C50H94NO8P
7115,C51H92NO8P
7117,C64H110NO8P
7121,C53H96NO8P
7123,C66H114NO8P
7126,C51H96NO8P
7128,C68H118NO8P
7132,C70H122NO8P
7134,C72H126NO8P
7136,C74H130NO8P
7139,C47H88NO8P
7156,C60H102NO8P
7163,C38H66NO8P
7164,C40H70NO8P
7166,C58H106NO8P
7167,C48H86NO8P
7168,C56H102NO8P
7170,C57H104NO8P
7172,C62H114NO8P
7173,C52H94NO8P
7174,C42H74NO8P
7175,C55H100NO8P
7176,C64H118NO8P
7177,C54H98NO8P
7178,C44H78NO8P
7180,C39H68NO8P
7181,C60H110NO8P
7182,C50H90NO8P
7183,C66H122NO8P
7187,C48H88NO8P
7188,C43H80NO8P
7193,C50H92NO8P
7196,C60H104NO8P
7197,C45H84NO8P
7201,C52H96NO8P
7206,C54H100NO8P
7208,C62H108NO8P
7210,C56H104NO8P
7212,C64H112NO8P
7213,C64H114NO8P
7214,C66H116NO8P
7215,C66H118NO8P
7216,C68H120NO8P
7217,C68H122NO8P
7218,C52H86NO8P
7220,C50H84NO8P
7224,C48H82NO8P
7226,C46H84NO8P
7243,C32H58NO8P
7244,C34H62NO8P
7245,C40H74NO8P
7246,C52H98NO8P
7247,C42H78NO8P
7248,C56H106NO8P
7249,C46H86NO8P
7250,C36H66NO8P
7251,C49H92NO8P
7252,C58H110NO8P
7253,C48H90NO8P
7254,C38H70NO8P
7256,C33H60NO8P
7257,C54H102NO8P
7259,C60H114NO8P
7269,C46H88NO8P
7273,C41H80NO8P
7277,C48H92NO8P
7279,C43H84NO8P
7282,C50H96NO8P
7286,C52H100NO8P
7316,C40H76NO8P
7317,C28H54NO8P
7318,C30H58NO8P
7320,C48H94NO8P
7322,C46H90NO8P
7323,C47H92NO8P
7325,C52H102NO8P
7327,C32H62NO8P
7328,C45H88NO8P
7329,C54H106NO8P
7331,C34H66NO8P
7333,C29H56NO8P
7334,C50H98NO8P
7336,C56H110NO8P
7342,C47H84NO8P
7343,C47H86NO8P
7344,C41H76NO8P
7345,C41H78NO8P
7352,C49H90NO8P
7353,C43H82NO8P
7358,C51H94NO8P
7362,C53H98NO8P
7366,C55H102NO8P
7368,C57H106NO8P
7369,C59H108NO8P
7370,C59H110NO8P
7371,C43H74NO8P
7372,C43H76NO8P
7373,C41H72NO8P
7375,C45H78NO8P
7376,C45H80NO8P
7377,C39H70NO8P
7378,C39H72NO8P
7382,C43H78NO8P
7383,C47H82NO8P
7389,C45H82NO8P
7391,C37H70NO8P
7395,C35H68NO8P
7397,C25H50NO8P
7399,C43H86NO8P
7401,C41H82NO8P
7404,C47H94NO8P
7405,C37H74NO8P
7408,C49H98NO8P
7409,C39H78NO8P
7411,C45H90NO8P
7413,C51H102NO8P
7473,C36H62NO8P
7489,C37H64NO8P
7526,C70H124NO8P
7529,C72H128NO8P
7554,C36H64NO8P
7555,C38H68NO8P
7562,C60H112NO8P
7564,C40H72NO8P
7566,C62H116NO8P
7568,C42H76NO8P
7570,C37H66NO8P
7571,C58H108NO8P
7573,C64H120NO8P
7609,C50H82NO8P
7611,C48H80NO8P
7615,C46H78NO8P
7634,C30H54NO8P
7649,C31H56NO8P
7672,C45H86NO8P
7713,C30H56NO8P
7714,C32H60NO8P
7715,C38H72NO8P
7719,C49H94NO8P
7721,C54H104NO8P
7723,C34H64NO8P
7724,C47H90NO8P
7725,C56H108NO8P
7727,C36H68NO8P
7729,C31H58NO8P
7732,C58H112NO8P
7796,C49H96NO8P
7806,C31H60NO8P
7809,C58H114NO8P
7846,C20H40NO8P
7920,C74H124NO8P
7925,C76H130NO8P
7926,C76H132NO8P
7940,C64H104NO8P
7959,C59H106NO8P
7969,C41H70NO8P
7972,C68H124NO8P
8007,C76H134NO8P
8054,C68H126NO8P
8087,C61H112NO8P
8088,C61H114NO8P
8129,C53H106NO8P
8245,C74H132NO8P
8290,C66H124NO8P
8339,C33H64NO8P
8357,C51H98NO8P
8366,C33H62NO8P
8369,C60H116NO8P
8437,C51H100NO8P
8449,C60H118NO8P
8477,C76H128NO8P
8482,C78H134NO8P
8483,C78H136NO8P
8516,C61H110NO8P
8529,C70H128NO8P
8561,C63H116NO8P
8562,C63H118NO8P
8594,C46H92NO8P
8602,C55H110NO8P
8716,C76H136NO8P
8761,C30H59O8P
8762,C68H128NO8P
8798,C70H130NO8P
8832,C53H104NO8P
8845,C62H122NO8P
8875,C78H132NO8P
8880,C80H138NO8P
8881,C80H140NO8P
8912,C63H114NO8P
8926,C72H132NO8P
8957,C31H61O8P
8962,C78H138NO8P
9042,C78H140NO8P
9088,C70H132NO8P
9116,C70H126NO8P
9122,C72H134NO8P
9151,C55H108NO8P
9164,C64H126NO8P
9198,C82H142NO8P
9199,C82H144NO8P
9231,C65H118NO8P
9234,C32H54NO8P
9244,C74H136NO8P
9279,C80H142NO8P
9333,C34H58NO8P
9360,C80H144NO8P
9405,C72H136NO8P
9440,C82H146NO8P
9473,C65H120NO8P
9486,C74H138NO8P
9521,C82H148NO8P
9555,C65H122NO8P
9567,C74H140NO8P
9604,C84H150NO8P
9613,C32H56NO8P
9636,C67H124NO8P
9649,C76H142NO8P
9715,C67H126NO8P
9729,C76H144NO8P
9767,C52H82NO8P
9769,C50H78NO8P
9770,C50H80NO8P
9771,C54H84NO8P
9772,C54H86NO8P
9773,C48H76NO8P
9774,C48H78NO8P
9778,C52H84NO8P
9779,C56H88NO8P
9787,C46H76NO8P
9791,C44H74NO8P
9792,C32H52NO8P
9793,C34H56NO8P
9803,C36H60NO8P
9809,C33H54NO8P
9885,C33H56NO8P
9930,C46H74NO8P
9931,C31H52NO8P
9950,C30H50NO8P
10029,C30H52NO8P
10039,C34H60NO8P
10046,C31H54NO8P
10085,C29H52NO8P
10127,C35H58NO8P
10208,C35H60NO8P
10271,C28H48NO8P
10287,C29H50NO8P
10350,C28H50NO8P
10425,C26H50NO8P
10436,C27H52NO8P
10672,C28H55O8P
10674,C33H58NO8P
10756,C37H62NO8P
11055,C28H52NO8P
11071,C29H54NO8P
11077,C29H60NO7P
11233,C35H62NO8P
11375,C26H48NO8P
11391,C27H50NO8P
11682,C24H46NO8P
11729,C80H136NO8P
11734,C84H148NO8P
11735,C84H152NO8P
11736,C52H80NO8P
11742,C44H72NO8P
11761,C12H24NO8P
11762,C16H32NO8P
11764,C52H104NO8P
11766,C48H96NO8P
11767,C50H100NO8P
11768,C60H120NO8P
11771,C64H128NO8P
11776,C56H112NO8P
11778,C68H136NO8P
11876,C36H74NO7P
12025,C20H40NO9P
12057,C58H116NO8P
12062,C54H108NO8P
12291,C57H114NO8P
12298,C59H118NO8P
12446,C62H124NO8P
12448,C21H40NO7P
12597,C17H34NO8P
12678,C21H42NO7P
12696,C23H46NO7P
12760,C66H132NO8P
12913,C19H38NO8P
13381,C36H62NO7P
13382,C36H64NO7P
13383,C30H56NO7P
13384,C26H52NO7P
13386,C34H60NO7P
13387,C34H62NO7P
13388,C28H52NO7P
13389,C28H54NO7P
13390,C28H56NO7P
13392,C38H66NO7P
13393,C38H68NO7P
13394,C23H48NO7P
13396,C36H66NO7P
13397,C30H58NO7P
13398,C30H60NO7P
13399,C40H70NO7P
13400,C25H52NO7P
13402,C38H70NO7P
13403,C32H64NO7P
13404,C42H74NO7P
13405,C40H72NO7P
13406,C40H74NO7P
13407,C34H68NO7P
13408,C44H78NO7P
