,sf
0,C12H22O4
1,C16H30O4
2,C12H24O2
3,C6H10O4
4,C8H14O4
5,C10H18O4
6,C14H26O4
7,C13H23NO6
8,C15H27NO6
9,C18H32O2
10,C19H38O2
11,C28H44O
12,C28H46O
13,C20H34O5
14,C4H8O2
15,C6H12O2
16,C17H35NO2
17,C17H37NO2
18,C18H39NO2
19,C27H44O
21,C27H42O3
22,C15H30O2
23,C17H34O2
24,C18H40NO5P
27,C16H30O
28,C20H39NO2
29,C18H37NO2
30,C39H77NO3
31,C38H75NO3
32,C38H75NO4
33,C39H77NO4
34,C41H81NO3
35,C43H85NO3
36,C29H48O
37,C43H85NO4
38,C48H97N2O6P
39,C41H81NO4
40,C42H83NO4
41,C27H46O
42,C28H48O
44,C43H87N2O6P
45,C44H89N2O6P
46,C40H79NO3
47,C16H34O
48,C17H37NO
49,C18H39NO
51,C18H34O
53,C17H36NO5P
54,C17H38NO5P
55,C15H28O
56,C24H38N7O19P3S
57,C34H60N7O17P3S
58,C36H62N7O18P3S
59,C36H64N7O17P3S
60,C29H46O3
61,C38H66N7O18P3S
62,C36H64N7O18P3S
63,C38H68N7O18P3S
64,C36H62N7O17P3S
65,C38H66N7O17P3S
66,C38H68N7O17P3S
70,C20H32O2
71,C23H38N7O17P3S
72,C25H40N7O18P3S
73,C6H12O4
74,C6H13O7P
75,C6H14O10P2
76,C5H12O7P2
78,C10H20O7P2
79,C15H28O7P2
80,C30H52O7P2
81,C30H50
82,C30H50O
84,C29H46O
89,C28H42O
90,C37H66N7O17P3S
92,C47H86N7O17P3S
93,C18H39NO3
94,C16H32O
95,C16H32O3
96,C18H37NO
97,C17H35NO
99,C22H35NO2
100,C20H30O2
101,C18H35NO2
102,C16H30O2
104,C24H48O2
105,C45H82N7O17P3S
106,C18H34O2
107,C39H68N7O17P3S
108,C19H39O7P
109,C37H71O8P
110,C20H32O5
112,C13H26O2
113,C27H48O3
114,C27H46O5
115,C27H46O4
116,C27H48O4
117,C40H56
118,C40H56O
119,C40H58O2
120,C20H28O
122,C18H38NO5P
123,C35H62N7O17P3S
124,C16H33NO2
125,C39H70N7O17P3S
126,C20H41NO2
127,C37H64N7O17P3S
128,C2H4O2
129,C30H44O2
130,C27H42O
131,C28H46O2
134,C30H52O
138,C31H52O
140,C27H44O2
141,C27H44O3
142,C27H44O4
143,C27H42O4
144,C27H42O5
145,C23H36O3
146,C23H34O3
147,C23H34O4
148,C41H74N7O17P3S
149,C43H76N7O18P3S
150,C39H68N7O18P3S
151,C41H72N7O18P3S
152,C39H64N7O17P3S
153,C41H66N7O18P3S
154,C42H85NO3
155,C44H89NO3
156,C39H66N7O17P3S
157,C39H62N7O17P3S
159,C41H64N7O18P3S
160,C19H37O7P
161,C47H83O13P
162,C40H80NO8P
163,C23H38O4
164,C45H78O2
165,C36H60O2
166,C16H32O2
167,C20H30O
170,C46H89NO11S
171,C48H93NO11S
172,C48H93NO8
173,C26H52O2
174,C28H56O2
175,C30H60O2
176,C32H64O2
177,C34H68O2
178,C28H56O3
179,C26H52O3
180,C30H60O3
181,C32H64O3
183,C34H69NO4
184,C34H67NO3
185,C36H71NO3
186,C24H50NO7P
187,C42H84NO8P
188,C45H91N2O6P
189,C40H79NO4
190,C39H79NO3
191,C34H69NO3
192,C15H30O
193,C24H52NO6P
194,C19H40O3
195,C18H38O
196,C18H36O
198,C41H70N7O18P3S
199,C43H78N7O17P3S
200,C45H80N7O18P3S
201,C47H84N7O18P3S
202,C49H88N7O18P3S
203,C41H72N7O17P3S
204,C43H74N7O18P3S
205,C43H76N7O17P3S
206,C34H68NO8P
207,C45H78N7O18P3S
208,C40H81NO3
209,C36H73NO3
210,C38H77NO3
211,C32H65NO3
213,C42H85NO4
214,C40H81NO4
215,C36H73NO4
217,C45H80N7O17P3S
218,C42H83NO3
219,C47H84N7O17P3S
220,C44H87NO3
222,C49H90N7O17P3S
223,C51H92N7O18P3S
225,C35H60N7O17P3S
227,C38H76NO8P
232,C21H41O7P
234,C39H75O8P
235,C20H41O7P
236,C38H73O8P
237,C21H43O7P
240,C35H67O8P
241,C36H69O8P
242,C23H47O7P
243,C41H79O8P
244,C17H35O7P
246,C33H58N7O17P3S
247,C15H31O7P
248,C42H82NO8P
249,C40H78NO8P
251,C21H44NO7P
252,C24H46NO9P
254,C42H78NO10P
255,C37H72NO8P
256,C39H76NO8P
258,C36H72NO8P
